message,author,timestamp,category,sentiment,keyword_mentioned,message_length
"I just shared a meme! It was amazing.","Bob","2025-02-13 18:07:34","humor",0.79,"meme",37
"I just shared Python! It was exciting.","Eve","2025-02-13 18:07:39","tech",0.54,"Python",38
"I just found Python! It was boring.","Eve","2025-02-13 18:07:44","tech",0.49,"Python",35
"I just found travel! It was exciting.","Eve","2025-02-13 18:07:49","travel",0.33,"travel",37
"I just saw a story! It was amazing.","Eve","2025-02-13 18:07:54","other",0.38,"other",35
"I just tried a movie! It was exciting.","Eve","2025-02-13 18:07:59","entertainment",0.48,"movie",38
"I just loved JavaScript! It was weird.","Eve","2025-02-13 18:08:04","tech",0.45,"JavaScript",38
"I just found JavaScript! It was weird.","Charlie","2025-02-13 18:08:09","tech",0.37,"JavaScript",38
"I just loved JavaScript! It was funny.","Bob","2025-02-13 18:08:14","tech",0.19,"JavaScript",38
"I just found a meme! It was weird.","Charlie","2025-02-13 18:08:19","humor",0.26,"meme",34
"I just found a meme! It was exciting.","Alice","2025-02-13 18:08:24","humor",0.83,"meme",37
"I just saw a movie! It was exciting.","Bob","2025-02-13 18:08:29","entertainment",0.87,"movie",36
"I just loved game! It was funny.","Bob","2025-02-13 18:08:34","gaming",0.58,"game",32
"I just saw travel! It was weird.","Eve","2025-02-13 18:08:39","travel",0.5,"travel",32
"I just found a meme! It was boring.","Eve","2025-02-13 18:08:44","humor",0.7,"meme",35
"I just tried a story! It was amazing.","Alice","2025-02-13 18:08:49","other",0.16,"other",37
"I just found recipe! It was exciting.","Charlie","2025-02-13 18:08:54","food",0.9,"recipe",37
"I just found a meme! It was funny.","Charlie","2025-02-13 18:08:59","humor",0.99,"meme",34
"I just loved Python! It was weird.","Charlie","2025-02-13 18:09:04","tech",0.55,"Python",34
"I just found a meme! It was amazing.","Charlie","2025-02-13 18:09:09","humor",0.98,"meme",36
"I just saw game! It was exciting.","Eve","2025-02-13 18:09:14","gaming",0.58,"game",33
"I just saw game! It was boring.","Eve","2025-02-13 18:09:19","gaming",0.01,"game",31
"I just loved recipe! It was funny.","Alice","2025-02-13 18:09:24","food",0.72,"recipe",34
"I just loved recipe! It was amazing.","Eve","2025-02-13 18:09:29","food",0.94,"recipe",36
"I just found a movie! It was funny.","Eve","2025-02-13 18:09:34","entertainment",0.34,"movie",35
"I just tried a meme! It was amazing.","Bob","2025-02-13 18:09:39","humor",0.84,"meme",36
"I just found a meme! It was amazing.","Eve","2025-02-13 18:09:44","humor",0.35,"meme",36
"I just loved a meme! It was funny.","Charlie","2025-02-13 18:09:49","humor",0.01,"meme",34
"I just shared travel! It was amazing.","Bob","2025-02-13 18:09:54","travel",0.59,"travel",37
"I just found a movie! It was exciting.","Charlie","2025-02-13 18:09:59","entertainment",0.71,"movie",38
"I just saw a trick! It was boring.","Bob","2025-02-13 18:10:04","other",0.41,"other",34
"I just tried recipe! It was exciting.","Alice","2025-02-13 18:10:09","food",0.4,"recipe",37
"I just loved JavaScript! It was funny.","Bob","2025-02-13 18:10:14","tech",0.11,"JavaScript",38
"I just loved game! It was weird.","Alice","2025-02-13 18:10:19","gaming",0.53,"game",32
"I just saw Python! It was boring.","Charlie","2025-02-13 18:10:24","tech",0.07,"Python",33
"I just shared JavaScript! It was funny.","Charlie","2025-02-13 18:10:29","tech",0.17,"JavaScript",39
"I just tried a movie! It was boring.","Charlie","2025-02-13 18:10:34","entertainment",0.21,"movie",36
"I just shared JavaScript! It was weird.","Alice","2025-02-13 18:10:39","tech",0.54,"JavaScript",39
"I just found recipe! It was funny.","Alice","2025-02-13 18:10:44","food",0.63,"recipe",34
"I just shared Python! It was exciting.","Bob","2025-02-13 18:10:49","tech",0.53,"Python",38
"I just tried recipe! It was exciting.","Charlie","2025-02-13 18:10:54","food",0.75,"recipe",37
"I just found a trick! It was funny.","Bob","2025-02-13 18:10:59","other",0.94,"other",35
"I just tried recipe! It was weird.","Charlie","2025-02-13 18:11:04","food",0.9,"recipe",34
"I just shared JavaScript! It was funny.","Eve","2025-02-13 18:11:09","tech",0.52,"JavaScript",39
"I just loved recipe! It was exciting.","Alice","2025-02-13 18:11:14","food",0.41,"recipe",37
"I just loved a story! It was weird.","Charlie","2025-02-13 18:11:19","other",0.51,"other",35
"I just found an app! It was weird.","Alice","2025-02-13 18:11:24","other",0.23,"other",34
"I just shared a trick! It was funny.","Eve","2025-02-13 18:11:29","other",0.48,"other",36
"I just saw JavaScript! It was boring.","Eve","2025-02-13 18:11:34","tech",0.27,"JavaScript",37
"I just shared an app! It was boring.","Bob","2025-02-13 18:11:39","other",0.11,"other",36
"I just found travel! It was exciting.","Bob","2025-02-13 18:11:44","travel",0.01,"travel",37
"I just tried an app! It was funny.","Alice","2025-02-13 18:11:49","other",0.43,"other",34
"I just loved a trick! It was weird.","Bob","2025-02-13 18:11:54","other",0.88,"other",35
"I just saw a trick! It was amazing.","Eve","2025-02-13 18:11:59","other",0.18,"other",35
"I just found a trick! It was amazing.","Eve","2025-02-13 18:12:04","other",0.95,"other",37
"I just shared a story! It was amazing.","Bob","2025-02-13 18:12:09","other",0.54,"other",38
"I just tried a trick! It was exciting.","Eve","2025-02-13 18:12:14","other",0.47,"other",38
"I just tried a trick! It was exciting.","Alice","2025-02-13 18:12:19","other",0.47,"other",38
"I just saw travel! It was boring.","Bob","2025-02-13 18:12:24","travel",0.21,"travel",33
"I just saw JavaScript! It was amazing.","Bob","2025-02-13 18:12:29","tech",0.26,"JavaScript",38
"I just saw a trick! It was funny.","Bob","2025-02-13 18:12:34","other",0.89,"other",33
"I just found game! It was exciting.","Eve","2025-02-13 18:12:39","gaming",0.82,"game",35
"I just found a story! It was funny.","Alice","2025-02-13 18:12:44","other",0.48,"other",35
"I just saw JavaScript! It was funny.","Eve","2025-02-13 18:12:49","tech",0.09,"JavaScript",36
"I just tried a trick! It was amazing.","Eve","2025-02-13 18:12:54","other",0.97,"other",37
"I just tried Python! It was funny.","Charlie","2025-02-13 18:12:59","tech",0.37,"Python",34
"I just shared an app! It was exciting.","Bob","2025-02-13 18:13:04","other",0.35,"other",38
"I just loved travel! It was exciting.","Bob","2025-02-13 18:13:09","travel",0.14,"travel",37
"I just saw a story! It was amazing.","Bob","2025-02-13 18:13:14","other",0.88,"other",35
"I just tried a story! It was weird.","Charlie","2025-02-13 18:13:19","other",0.6,"other",35
"I just tried game! It was funny.","Alice","2025-02-13 18:13:24","gaming",0.56,"game",32
"I just loved an app! It was amazing.","Charlie","2025-02-13 18:13:29","other",0.48,"other",36
"I just tried a movie! It was funny.","Eve","2025-02-13 18:13:34","entertainment",0.69,"movie",35
"I just found a meme! It was funny.","Charlie","2025-02-13 18:13:39","humor",0.3,"meme",34
"I just shared travel! It was weird.","Bob","2025-02-13 18:13:44","travel",0.55,"travel",35
"I just found game! It was amazing.","Bob","2025-02-13 18:13:49","gaming",0.57,"game",34
"I just saw game! It was amazing.","Bob","2025-02-13 18:13:54","gaming",0.34,"game",32
"I just found recipe! It was exciting.","Eve","2025-02-13 18:13:59","food",0.13,"recipe",37
"I just loved Python! It was boring.","Charlie","2025-02-13 18:14:04","tech",0.9,"Python",35
"I just shared a movie! It was funny.","Alice","2025-02-13 18:14:09","entertainment",0.23,"movie",36
"I just saw JavaScript! It was exciting.","Eve","2025-02-13 18:14:14","tech",0.28,"JavaScript",39
"I just saw a trick! It was amazing.","Eve","2025-02-13 18:14:19","other",0.43,"other",35
"I just found a movie! It was funny.","Bob","2025-02-13 18:14:24","entertainment",0.69,"movie",35
"I just tried an app! It was amazing.","Charlie","2025-02-13 18:14:29","other",0.4,"other",36
"I just saw a story! It was amazing.","Charlie","2025-02-13 18:14:34","other",0.31,"other",35
"I just found a movie! It was funny.","Eve","2025-02-13 18:14:39","entertainment",0.29,"movie",35
"I just tried a meme! It was funny.","Eve","2025-02-13 18:14:44","humor",0.89,"meme",34
"I just shared a meme! It was exciting.","Eve","2025-02-13 18:14:49","humor",0.66,"meme",38
"I just loved game! It was weird.","Eve","2025-02-13 18:14:54","gaming",0.07,"game",32
"I just tried a movie! It was exciting.","Eve","2025-02-13 18:14:59","entertainment",0.11,"movie",38
"I just found a movie! It was boring.","Alice","2025-02-13 18:15:04","entertainment",0.24,"movie",36
"I just shared a trick! It was amazing.","Eve","2025-02-13 18:15:09","other",0.65,"other",38
"I just tried a story! It was funny.","Eve","2025-02-13 18:15:14","other",0.91,"other",35
"I just saw a trick! It was amazing.","Bob","2025-02-13 18:15:19","other",0.24,"other",35
"I just saw Python! It was exciting.","Charlie","2025-02-13 18:15:24","tech",0.55,"Python",35
"I just found travel! It was weird.","Charlie","2025-02-13 18:15:29","travel",0.12,"travel",34
"I just shared game! It was weird.","Eve","2025-02-13 18:15:34","gaming",0.44,"game",33
"I just loved a meme! It was funny.","Alice","2025-02-13 18:15:39","humor",0.55,"meme",34
"I just loved an app! It was weird.","Eve","2025-02-13 18:15:45","other",0.82,"other",34
"I just saw JavaScript! It was amazing.","Eve","2025-02-13 18:15:50","tech",0.02,"JavaScript",38
"I just found an app! It was exciting.","Bob","2025-02-13 18:15:55","other",0.56,"other",37
"I just saw JavaScript! It was weird.","Alice","2025-02-13 18:16:00","tech",0.77,"JavaScript",36
"I just shared game! It was exciting.","Eve","2025-02-13 18:16:05","gaming",0.66,"game",36
"I just tried a story! It was boring.","Bob","2025-02-13 18:16:10","other",0.56,"other",36
"I just shared travel! It was amazing.","Charlie","2025-02-13 18:16:15","travel",0.49,"travel",37
"I just found an app! It was exciting.","Bob","2025-02-13 18:16:20","other",0.85,"other",37
"I just shared recipe! It was amazing.","Bob","2025-02-13 18:16:25","food",0.31,"recipe",37
"I just saw a trick! It was boring.","Eve","2025-02-13 18:16:30","other",0.13,"other",34
"I just tried a trick! It was weird.","Eve","2025-02-13 18:16:35","other",0.8,"other",35
"I just saw recipe! It was amazing.","Charlie","2025-02-13 18:16:40","food",0.83,"recipe",34
"I just saw a trick! It was amazing.","Alice","2025-02-13 18:16:45","other",0.69,"other",35
"I just shared recipe! It was boring.","Charlie","2025-02-13 18:16:50","food",0.95,"recipe",36
"I just tried travel! It was exciting.","Bob","2025-02-13 18:16:55","travel",0.27,"travel",37
"I just found a movie! It was funny.","Charlie","2025-02-13 18:17:00","entertainment",0.95,"movie",35
